aX,aY,aZ,gX,gY,gZ
0.201,-0.036,1.008,35.339,19.714,-4.578
0.212,-0.041,1.000,36.560,17.761,-3.662
0.225,-0.060,0.994,36.194,15.930,-3.540
0.216,-0.071,0.988,34.485,15.503,-4.395
0.195,-0.082,0.976,31.006,15.869,-6.409
0.178,-0.089,0.970,26.245,17.395,-6.958
0.167,-0.091,0.969,20.508,18.005,-6.104
0.161,-0.090,0.972,14.893,17.273,-4.761
0.157,-0.084,0.979,10.132,15.564,-3.357
0.156,-0.081,0.979,6.226,13.977,-1.465
0.160,-0.078,0.977,2.502,13.550,0.549
0.162,-0.074,0.974,0.000,13.367,2.686
0.160,-0.050,0.977,-0.549,12.512,4.761
0.159,-0.024,0.981,0.793,10.803,7.080
0.170,0.007,0.981,4.089,8.545,9.338
0.182,0.047,0.982,8.240,5.615,11.841
0.192,0.095,0.982,12.573,2.380,13.916
0.206,0.137,0.975,16.418,0.061,15.137
0.224,0.166,0.965,19.470,-0.244,14.954
0.250,0.195,0.960,20.081,1.160,12.756
0.246,0.221,0.949,17.944,0.793,9.888
0.242,0.235,0.943,14.465,0.244,5.737
0.234,0.243,0.934,10.681,1.953,1.465
0.231,0.238,0.930,6.775,5.066,-1.648
0.219,0.230,0.926,3.296,6.958,-4.456
0.204,0.205,0.927,0.427,7.446,-7.202
0.182,0.186,0.929,-1.099,7.080,-9.155
0.168,0.168,0.933,-0.977,6.592,-9.644
0.153,0.156,0.941,-0.305,5.493,-9.338
0.144,0.145,0.948,0.916,4.456,-8.057
0.137,0.138,0.947,2.380,3.723,-6.165
0.126,0.130,0.949,3.967,2.686,-4.395
0.126,0.134,0.948,5.371,1.648,-3.540
0.119,0.141,0.945,6.531,0.916,-2.991
0.128,0.142,0.942,7.080,0.793,-1.770
0.136,0.148,0.941,7.141,1.099,-0.427
0.146,0.145,0.940,6.287,0.671,-0.061
0.145,0.139,0.934,4.822,0.671,-0.305
0.131,0.139,0.929,3.296,2.197,-1.038
0.126,0.126,0.924,1.526,3.845,-0.854
0.135,0.122,0.922,-0.305,4.333,0.183
0.126,0.137,0.924,-0.916,2.686,2.197
0.140,0.142,0.921,0.000,-0.366,4.761
0.155,0.156,0.930,1.526,-3.235,6.714
0.143,0.181,0.928,2.930,-4.578,7.568
0.159,0.183,0.931,3.723,-2.686,8.057
0.187,0.186,0.931,3.662,1.770,7.935
0.199,0.191,0.925,2.686,2.808,7.263
0.190,0.196,0.928,2.197,0.854,5.676
0.176,0.192,0.929,1.953,0.122,4.272
0.176,0.175,0.928,1.343,0.671,3.845
0.179,0.170,0.930,0.977,1.526,3.540
0.178,0.173,0.935,0.427,1.099,3.479
0.170,0.178,0.941,0.000,-0.183,3.418
0.171,0.172,0.948,-0.793,-0.977,3.662
0.179,0.162,0.951,-1.770,-0.732,3.357
0.183,0.158,0.951,-2.319,0.000,2.747
0.181,0.153,0.951,-2.319,0.732,1.648
0.178,0.146,0.949,-2.197,1.465,0.732
0.169,0.151,0.950,-2.197,1.526,0.427
0.159,0.159,0.959,-1.648,1.221,0.916

-0.864,1.620,0.322,-143.066,7.751,175.293
-0.742,1.888,0.369,-166.138,38.269,176.331
-0.525,2.125,0.453,-189.697,65.857,168.823
-0.318,2.222,0.534,-203.857,86.487,155.212
-0.088,2.261,0.620,-209.839,109.863,131.409
0.112,2.232,0.701,-211.365,136.108,100.830
0.245,2.158,0.715,-201.538,153.503,65.247
0.356,2.030,0.718,-176.575,156.311,27.588
0.386,1.881,0.660,-137.634,144.104,-5.737
0.320,1.749,0.577,-91.248,122.925,-35.522
0.227,1.609,0.494,-47.180,100.769,-60.425
0.102,1.471,0.448,-13.672,77.209,-77.942
-0.012,1.324,0.443,7.690,53.162,-87.524
-0.118,1.201,0.452,21.484,32.654,-90.271
-0.200,1.118,0.478,30.701,18.738,-87.158
