aX,aY,aZ,gX,gY,gZ
0.456,-0.558,-0.437,91.675,61.340,-5.676
0.469,-0.520,-0.467,92.651,62.439,-6.409
0.441,-0.493,-0.498,95.215,64.209,-9.888
0.424,-0.479,-0.570,102.112,67.017,-14.160
0.404,-0.494,-0.648,107.666,66.772,-18.311
0.386,-0.507,-0.716,109.741,63.599,-20.752
0.361,-0.483,-0.778,108.582,59.692,-20.508
0.353,-0.476,-0.839,105.469,56.885,-19.165
0.336,-0.480,-0.876,100.708,54.443,-18.616
0.329,-0.480,-0.896,94.543,51.270,-18.494
0.328,-0.474,-0.905,89.417,46.326,-18.311
0.317,-0.475,-0.904,86.548,40.710,-18.738
0.304,-0.491,-0.909,84.106,36.011,-18.738
0.310,-0.482,-0.905,81.726,31.677,-16.846
0.299,-0.467,-0.904,79.651,29.175,-15.564
0.302,-0.467,-0.909,77.820,28.809,-14.832
0.302,-0.470,-0.920,76.416,29.663,-14.099
0.290,-0.491,-0.920,74.585,30.640,-13.611
0.287,-0.487,-0.935,70.068,31.433,-12.390
0.290,-0.482,-0.935,65.552,32.288,-9.827
0.244,-0.458,-0.952,63.354,31.738,-7.202
0.301,-0.450,-0.930,63.538,40.405,-1.343
0.319,-0.445,-0.954,59.692,44.189,-2.991
0.312,-0.428,-0.995,57.922,43.152,-7.080
0.328,-0.450,-1.010,58.899,40.161,-5.920
0.332,-0.445,-1.010,59.265,31.067,-4.883
0.318,-0.443,-1.008,57.373,22.583,-5.310
0.301,-0.448,-0.996,54.016,19.592,-5.188
0.313,-0.456,-0.983,49.683,21.912,-4.089
0.319,-0.446,-0.954,45.471,21.484,-4.089
0.307,-0.418,-0.930,43.457,21.057,-4.028
0.316,-0.401,-0.927,44.312,23.621,-4.028
0.307,-0.398,-0.940,46.143,24.597,-5.615
0.301,-0.397,-0.949,47.668,25.696,-7.141
0.298,-0.406,-0.981,48.462,26.672,-8.179
0.289,-0.409,-0.990,47.119,25.146,-9.277
0.282,-0.405,-0.991,45.349,22.400,-8.850
0.279,-0.399,-0.993,43.457,19.897,-6.714
0.275,-0.382,-0.977,41.809,17.273,-6.287
0.276,-0.380,-0.967,40.222,16.174,-7.385
0.267,-0.378,-0.959,38.696,15.930,-8.057
0.260,-0.376,-0.952,38.086,15.930,-8.118
0.242,-0.361,-0.959,37.537,16.174,-8.118
0.231,-0.361,-0.972,36.743,19.592,-7.141
0.225,-0.368,-0.995,34.729,21.851,-6.531
0.221,-0.358,-1.008,32.837,21.118,-6.104
0.206,-0.352,-1.020,32.227,18.433,-5.493
0.219,-0.340,-1.028,31.189,16.907,-4.944
0.202,-0.347,-1.026,28.931,15.442,-5.371
0.197,-0.344,-1.035,24.536,15.015,-4.822
0.189,-0.343,-1.035,20.935,14.343,-3.723
0.192,-0.339,-1.019,19.653,13.916,-3.174
0.191,-0.342,-1.031,18.677,12.329,-2.991
0.198,-0.350,-1.023,17.517,9.399,-2.808
0.207,-0.347,-1.003,17.517,6.165,-2.563
0.202,-0.351,-0.986,16.296,4.333,-1.770
0.213,-0.347,-0.962,14.587,5.066,-0.732
0.214,-0.344,-0.955,13.428,5.676,0.122
0.220,-0.331,-0.948,12.451,5.676,0.793
0.225,-0.333,-0.940,13.123,6.104,0.854

-0.360,0.572,-2.294,-17.151,-18.311,-2.563
-0.450,0.501,-2.542,-31.311,-46.997,-2.136
-0.452,0.478,-2.689,-57.800,-67.139,-5.066
-0.507,0.416,-2.674,-90.759,-92.834,-6.348
-0.419,0.323,-2.544,-127.747,-112.305,-2.625
-0.347,0.289,-2.278,-167.725,-126.404,1.282
-0.268,0.241,-2.014,-200.928,-139.893,4.883
-0.232,0.177,-1.739,-223.755,-154.358,8.240
-0.168,0.182,-1.494,-237.976,-166.016,12.939
-0.108,0.185,-1.303,-245.422,-175.110,15.869
